note_id,snapshot_id,account_id,snapshot_date,hardship_signal,income_shock_signal,missed_payment_signal,arrangement_break_signal,collections_signal,vulnerability_signal,note_signal_score,parser_confidence,extraction_method
N0000075,A102269_2025-07-31,A102269,2025-07-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000076,A101988_2025-02-28,A101988,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000077,A101047_2025-09-30,A101047,2025-09-30,0,0,1,1,1,0,0.5500,0.92,deterministic_keyword_rules_v1
N0000078,A102050_2026-05-31,A102050,2026-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000079,A100571_2025-07-31,A100571,2025-07-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000080,A100082_2026-02-28,A100082,2026-02-28,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000081,A101136_2026-01-31,A101136,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000082,A101826_2026-03-31,A101826,2026-03-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000083,A101938_2026-05-31,A101938,2026-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000084,A100632_2025-06-30,A100632,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000085,A101873_2025-03-31,A101873,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000086,A101031_2026-06-30,A101031,2026-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000087,A100785_2026-02-28,A100785,2026-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000088,A100992_2026-05-31,A100992,2026-05-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000089,A100226_2025-01-31,A100226,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000090,A100928_2026-05-31,A100928,2026-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000091,A100027_2025-10-31,A100027,2025-10-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000092,A100907_2025-09-30,A100907,2025-09-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000093,A100914_2026-05-31,A100914,2026-05-31,1,1,1,0,0,0,0.6000,0.92,deterministic_keyword_rules_v1
N0000094,A101701_2025-02-28,A101701,2025-02-28,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000095,A100463_2025-03-31,A100463,2025-03-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000096,A101531_2025-12-31,A101531,2025-12-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000097,A100506_2025-08-31,A100506,2025-08-31,0,0,1,1,1,0,0.5500,0.92,deterministic_keyword_rules_v1
N0000098,A102218_2026-04-30,A102218,2026-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000099,A101015_2026-02-28,A101015,2026-02-28,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000100,A101388_2026-01-31,A101388,2026-01-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000101,A101128_2025-11-30,A101128,2025-11-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000102,A101907_2026-01-31,A101907,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000103,A100035_2025-11-30,A100035,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000104,A102440_2025-03-31,A102440,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000105,A100138_2026-05-31,A100138,2026-05-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000106,A100394_2026-03-31,A100394,2026-03-31,1,1,1,0,0,0,0.6000,0.92,deterministic_keyword_rules_v1
N0000107,A100962_2025-05-31,A100962,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000108,A100760_2025-09-30,A100760,2025-09-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000109,A101622_2025-09-30,A101622,2025-09-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000110,A101944_2025-08-31,A101944,2025-08-31,0,0,1,1,1,0,0.5500,0.92,deterministic_keyword_rules_v1
N0000111,A100776_2025-07-31,A100776,2025-07-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000112,A100025_2025-04-30,A100025,2025-04-30,0,0,1,1,1,0,0.5500,0.92,deterministic_keyword_rules_v1
N0000113,A100835_2025-09-30,A100835,2025-09-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000114,A101278_2025-03-31,A101278,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000115,A101619_2025-06-30,A101619,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000116,A100210_2025-11-30,A100210,2025-11-30,1,1,0,0,0,0,0.4000,0.86,deterministic_keyword_rules_v1
N0000117,A101490_2025-07-31,A101490,2025-07-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000118,A101663_2026-01-31,A101663,2026-01-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000119,A101624_2025-04-30,A101624,2025-04-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000120,A100274_2025-04-30,A100274,2025-04-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000121,A101977_2025-11-30,A101977,2025-11-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000122,A100803_2026-04-30,A100803,2026-04-30,0,0,1,1,1,0,0.5500,0.92,deterministic_keyword_rules_v1
N0000123,A101471_2025-05-31,A101471,2025-05-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000124,A100156_2025-11-30,A100156,2025-11-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000125,A101720_2025-11-30,A101720,2025-11-30,0,0,0,1,1,0,0.3500,0.86,deterministic_keyword_rules_v1
N0000126,A102004_2026-04-30,A102004,2026-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000127,A100274_2025-05-31,A100274,2025-05-31,1,1,1,0,0,0,0.6000,0.92,deterministic_keyword_rules_v1
N0000128,A101285_2026-06-30,A101285,2026-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000129,A100271_2025-04-30,A100271,2025-04-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000130,A101437_2025-09-30,A101437,2025-09-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000131,A101966_2025-08-31,A101966,2025-08-31,0,0,1,1,1,0,0.5500,0.92,deterministic_keyword_rules_v1
N0000132,A101139_2025-12-31,A101139,2025-12-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000133,A100198_2026-01-31,A100198,2026-01-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000134,A101521_2025-09-30,A101521,2025-09-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000135,A100723_2025-02-28,A100723,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000136,A101191_2026-03-31,A101191,2026-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000137,A100186_2025-01-31,A100186,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000138,A100547_2025-07-31,A100547,2025-07-31,1,1,0,0,0,0,0.4000,0.86,deterministic_keyword_rules_v1
N0000139,A100611_2026-04-30,A100611,2026-04-30,0,0,0,1,1,0,0.3500,0.86,deterministic_keyword_rules_v1
N0000140,A102303_2025-12-31,A102303,2025-12-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000141,A100676_2025-01-31,A100676,2025-01-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000142,A102256_2025-07-31,A102256,2025-07-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000143,A101700_2025-06-30,A101700,2025-06-30,1,1,0,0,0,0,0.4000,0.86,deterministic_keyword_rules_v1
N0000144,A101905_2025-03-31,A101905,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000145,A100158_2025-05-31,A100158,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000146,A101786_2026-06-30,A101786,2026-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000147,A100967_2025-07-31,A100967,2025-07-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000148,A102196_2026-04-30,A102196,2026-04-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000149,A102336_2025-11-30,A102336,2025-11-30,1,1,0,1,1,0,0.7500,0.92,deterministic_keyword_rules_v1
N0000150,A100662_2025-12-31,A100662,2025-12-31,1,1,1,0,0,0,0.6000,0.92,deterministic_keyword_rules_v1
N0000151,A100174_2025-03-31,A100174,2025-03-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000152,A100270_2026-01-31,A100270,2026-01-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000153,A100358_2025-10-31,A100358,2025-10-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000154,A101437_2025-09-30,A101437,2025-09-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000155,A102465_2026-05-31,A102465,2026-05-31,0,0,1,1,1,0,0.5500,0.92,deterministic_keyword_rules_v1
N0000156,A101920_2025-02-28,A101920,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000157,A101176_2025-06-30,A101176,2025-06-30,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000158,A100755_2026-05-31,A100755,2026-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000159,A100948_2026-05-31,A100948,2026-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000160,A101337_2025-12-31,A101337,2025-12-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000161,A100103_2026-01-31,A100103,2026-01-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000162,A101887_2025-05-31,A101887,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000163,A101844_2025-11-30,A101844,2025-11-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000164,A100974_2026-06-30,A100974,2026-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000165,A100638_2025-09-30,A100638,2025-09-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000166,A100416_2025-06-30,A100416,2025-06-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000167,A101218_2026-03-31,A101218,2026-03-31,0,0,1,1,1,0,0.5500,0.92,deterministic_keyword_rules_v1
N0000168,A101634_2026-03-31,A101634,2026-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000169,A101657_2025-01-31,A101657,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000170,A102391_2025-08-31,A102391,2025-08-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000171,A100400_2026-03-31,A100400,2026-03-31,0,0,0,1,1,0,0.3500,0.86,deterministic_keyword_rules_v1
N0000172,A101676_2026-06-30,A101676,2026-06-30,0,0,0,1,1,0,0.3500,0.86,deterministic_keyword_rules_v1
N0000173,A102006_2025-04-30,A102006,2025-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000174,A102216_2025-07-31,A102216,2025-07-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000175,A101680_2026-04-30,A101680,2026-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000176,A101034_2025-10-31,A101034,2025-10-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000177,A101442_2025-09-30,A101442,2025-09-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000178,A100673_2025-05-31,A100673,2025-05-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000179,A100599_2025-12-31,A100599,2025-12-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000180,A100512_2026-04-30,A100512,2026-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000181,A100761_2026-05-31,A100761,2026-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000182,A100349_2026-01-31,A100349,2026-01-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000183,A100575_2025-12-31,A100575,2025-12-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000184,A100584_2025-08-31,A100584,2025-08-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000185,A102189_2025-06-30,A102189,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000186,A101796_2025-04-30,A101796,2025-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000187,A102282_2025-03-31,A102282,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000188,A100027_2025-06-30,A100027,2025-06-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000189,A101907_2026-01-31,A101907,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000190,A102497_2025-02-28,A102497,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000191,A100591_2025-02-28,A100591,2025-02-28,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000192,A102152_2025-08-31,A102152,2025-08-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000193,A101199_2025-12-31,A101199,2025-12-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000194,A102016_2025-05-31,A102016,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000195,A100358_2025-02-28,A100358,2025-02-28,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000196,A101945_2025-03-31,A101945,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000197,A102442_2025-03-31,A102442,2025-03-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000198,A100412_2025-01-31,A100412,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000199,A101727_2025-02-28,A101727,2025-02-28,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000200,A101724_2026-02-28,A101724,2026-02-28,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000201,A100636_2026-05-31,A100636,2026-05-31,0,0,0,1,1,0,0.3500,0.86,deterministic_keyword_rules_v1
N0000202,A100019_2025-01-31,A100019,2025-01-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000203,A100497_2025-05-31,A100497,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000204,A100593_2025-03-31,A100593,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000205,A100215_2025-02-28,A100215,2025-02-28,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000206,A101992_2025-03-31,A101992,2025-03-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000207,A100478_2026-01-31,A100478,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000208,A102321_2025-12-31,A102321,2025-12-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000209,A102457_2025-12-31,A102457,2025-12-31,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000210,A101008_2026-01-31,A101008,2026-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000211,A101160_2025-01-31,A101160,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000212,A102342_2025-05-31,A102342,2025-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000213,A101563_2025-07-31,A101563,2025-07-31,0,0,1,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000214,A101043_2025-01-31,A101043,2025-01-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000215,A100256_2025-08-31,A100256,2025-08-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000216,A100787_2025-04-30,A100787,2025-04-30,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
N0000217,A102118_2025-06-30,A102118,2025-06-30,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000218,A101293_2025-02-28,A101293,2025-02-28,1,0,0,0,0,0,0.2000,0.86,deterministic_keyword_rules_v1
N0000219,A102316_2026-05-31,A102316,2026-05-31,0,0,0,0,0,0,0.0000,0.68,deterministic_keyword_rules_v1
