snapshot_id,account_id,snapshot_date,months_on_book,credit_limit,balance,utilization_ratio,payments_due_30d,missed_payment_90d,hardship_flag_90d,collections_contact_90d,high_utilization_flag,any_recent_distress_flag,event_count_next_90d,first_event_date_next_90d,risk_event_next_window
A100863_2025-03-31,A100863,2025-03-31,75,500,290.21,0.5804,1,0,0,0,0,0,0,,0
A102471_2026-06-30,A102471,2026-06-30,36,500,248.79,0.4976,3,0,0,0,0,0,1,2026-08-04,1
A101846_2026-02-28,A101846,2026-02-28,39,8000,3010.95,0.3764,1,0,0,0,0,0,0,,0
A101357_2025-01-31,A101357,2025-01-31,42,1500,925.72,0.6171,1,0,0,0,0,0,0,,0
A101524_2025-03-31,A101524,2025-03-31,51,2500,1107.18,0.4429,0,0,0,0,0,0,0,,0
A100197_2025-10-31,A100197,2025-10-31,14,500,327.01,0.6540,1,0,0,0,0,0,0,,0
A100777_2026-01-31,A100777,2026-01-31,101,2500,933.24,0.3733,0,0,0,0,0,0,0,,0
A102269_2025-07-31,A102269,2025-07-31,93,500,468.23,0.9365,3,0,0,0,1,0,0,,0
A101988_2025-02-28,A101988,2025-02-28,117,5000,3370.80,0.6742,1,0,0,0,0,0,0,,0
A101047_2025-09-30,A101047,2025-09-30,52,8000,4563.52,0.5704,3,1,0,1,0,1,0,,0
A102050_2026-05-31,A102050,2026-05-31,71,1000,836.51,0.8365,3,0,0,0,0,0,0,,0
A100571_2025-07-31,A100571,2025-07-31,32,500,347.57,0.6951,2,0,0,0,0,0,0,,0
A100082_2026-02-28,A100082,2026-02-28,50,2500,2083.82,0.8335,1,0,0,0,0,0,0,,0
A101136_2026-01-31,A101136,2026-01-31,17,8000,1581.78,0.1977,1,0,0,0,0,0,0,,0
A101826_2026-03-31,A101826,2026-03-31,40,500,271.24,0.5425,1,1,0,0,0,1,0,,0
A101938_2026-05-31,A101938,2026-05-31,1,500,53.01,0.1060,3,0,0,0,0,0,0,,0
A100632_2025-06-30,A100632,2025-06-30,67,8000,7281.62,0.9102,0,0,0,0,1,0,0,,0
A101873_2025-03-31,A101873,2025-03-31,71,500,339.78,0.6796,0,0,0,0,0,0,0,,0
A101031_2026-06-30,A101031,2026-06-30,82,2500,1377.78,0.5511,0,0,0,0,0,0,0,,0
A100785_2026-02-28,A100785,2026-02-28,34,1000,553.02,0.5530,2,0,0,0,0,0,0,,0
A100992_2026-05-31,A100992,2026-05-31,68,1000,538.38,0.5384,1,1,0,0,0,1,0,,0
A100226_2025-01-31,A100226,2025-01-31,25,2500,2051.15,0.8205,0,0,0,0,0,0,0,,0
A100928_2026-05-31,A100928,2026-05-31,5,8000,2488.81,0.3111,2,0,0,0,0,0,0,,0
A100027_2025-10-31,A100027,2025-10-31,95,5000,4083.30,0.8167,1,0,0,0,0,0,0,,0
A100907_2025-09-30,A100907,2025-09-30,98,1500,1005.40,0.6703,0,0,0,0,0,0,0,,0
A100914_2026-05-31,A100914,2026-05-31,54,8000,6921.18,0.8651,3,1,1,0,0,1,0,,0
A101701_2025-02-28,A101701,2025-02-28,91,500,333.32,0.6666,1,0,0,0,0,0,0,,0
A100463_2025-03-31,A100463,2025-03-31,120,1000,473.51,0.4735,3,1,0,0,0,1,0,,0
A101531_2025-12-31,A101531,2025-12-31,57,1000,690.71,0.6907,0,1,0,0,0,1,1,2026-02-03,1
A100506_2025-08-31,A100506,2025-08-31,49,1500,862.84,0.5752,3,1,0,1,0,1,1,2025-10-02,1
A102218_2026-04-30,A102218,2026-04-30,25,1500,505.00,0.3367,2,0,0,0,0,0,0,,0
A101015_2026-02-28,A101015,2026-02-28,6,2500,1594.33,0.6377,0,0,0,0,0,0,0,,0
A101388_2026-01-31,A101388,2026-01-31,35,1500,854.29,0.5695,0,0,0,0,0,0,0,,0
A101128_2025-11-30,A101128,2025-11-30,1,8000,4558.23,0.5698,0,1,0,0,0,1,1,2025-12-20,1
A101907_2026-01-31,A101907,2026-01-31,102,1500,0.00,0.0000,3,0,0,0,0,0,0,,0
A100035_2025-11-30,A100035,2025-11-30,106,8000,4790.54,0.5988,2,0,0,0,0,0,0,,0
A102440_2025-03-31,A102440,2025-03-31,66,1000,211.71,0.2117,3,0,0,0,0,0,0,,0
A100138_2026-05-31,A100138,2026-05-31,71,5000,1145.19,0.2290,0,0,0,0,0,0,0,,0
A100394_2026-03-31,A100394,2026-03-31,64,8000,9380.57,1.1726,3,1,1,0,1,1,0,,0
A100962_2025-05-31,A100962,2025-05-31,100,1500,693.23,0.4622,2,0,0,0,0,0,0,,0
A100760_2025-09-30,A100760,2025-09-30,31,1000,861.25,0.8612,2,0,0,0,0,0,0,,0
A101622_2025-09-30,A101622,2025-09-30,32,5000,964.29,0.1929,0,0,0,0,0,0,0,,0
A101944_2025-08-31,A101944,2025-08-31,108,2500,1226.05,0.4904,2,1,0,1,0,1,1,2025-10-18,1
A100776_2025-07-31,A100776,2025-07-31,120,500,100.85,0.2017,3,0,0,0,0,0,0,,0
A100025_2025-04-30,A100025,2025-04-30,82,5000,4553.07,0.9106,2,1,0,1,1,1,0,,0
A100835_2025-09-30,A100835,2025-09-30,5,5000,2441.49,0.4883,0,0,0,0,0,0,0,,0
A101278_2025-03-31,A101278,2025-03-31,27,500,0.00,0.0000,3,0,0,0,0,0,0,,0
A101619_2025-06-30,A101619,2025-06-30,82,5000,3378.14,0.6756,2,0,0,0,0,0,0,,0
A100210_2025-11-30,A100210,2025-11-30,96,5000,3155.04,0.6310,2,0,1,0,0,1,1,2025-12-02,1
A101490_2025-07-31,A101490,2025-07-31,51,8000,453.21,0.0567,3,0,0,0,0,0,0,,0
A101663_2026-01-31,A101663,2026-01-31,59,1000,885.40,0.8854,1,1,0,0,0,1,0,,0
A101624_2025-04-30,A101624,2025-04-30,74,5000,4583.76,0.9168,1,1,0,0,1,1,1,2025-07-15,1
A100274_2025-04-30,A100274,2025-04-30,50,2500,923.88,0.3696,1,0,0,0,0,0,0,,0
A101977_2025-11-30,A101977,2025-11-30,7,5000,3857.62,0.7715,1,0,0,0,0,0,0,,0
A100803_2026-04-30,A100803,2026-04-30,24,5000,2195.84,0.4392,1,1,0,1,0,1,0,,0
A101471_2025-05-31,A101471,2025-05-31,20,1000,1001.97,1.0020,1,1,0,0,1,1,1,2025-07-22,1
A100156_2025-11-30,A100156,2025-11-30,16,2500,1164.54,0.4658,3,0,0,0,0,0,0,,0
A101720_2025-11-30,A101720,2025-11-30,75,1000,222.55,0.2225,3,0,0,1,0,1,1,2025-12-13,1
A102004_2026-04-30,A102004,2026-04-30,31,2500,1787.33,0.7149,3,0,0,0,0,0,0,,0
A100274_2025-05-31,A100274,2025-05-31,46,2500,629.05,0.2516,0,1,1,0,0,1,0,,0
A101285_2026-06-30,A101285,2026-06-30,11,500,443.51,0.8870,3,0,0,0,0,0,0,,0
A100271_2025-04-30,A100271,2025-04-30,25,1000,838.99,0.8390,1,0,0,0,0,0,0,,0
A101437_2025-09-30,A101437,2025-09-30,21,1500,775.01,0.5167,2,0,0,0,0,0,0,,0
A101966_2025-08-31,A101966,2025-08-31,76,1500,618.90,0.4126,2,1,0,1,0,1,1,2025-11-08,1
A101139_2025-12-31,A101139,2025-12-31,115,2500,1068.83,0.4275,1,0,0,0,0,0,0,,0
A100198_2026-01-31,A100198,2026-01-31,112,2500,600.69,0.2403,0,0,0,0,0,0,0,,0
A101521_2025-09-30,A101521,2025-09-30,49,1500,657.15,0.4381,1,0,0,0,0,0,0,,0
A100723_2025-02-28,A100723,2025-02-28,38,5000,2709.04,0.5418,2,0,0,0,0,0,0,,0
A101191_2026-03-31,A101191,2026-03-31,54,5000,4534.48,0.9069,2,0,0,0,1,0,0,,0
A100186_2025-01-31,A100186,2025-01-31,7,500,177.95,0.3559,2,0,0,0,0,0,0,,0
A100547_2025-07-31,A100547,2025-07-31,47,5000,2314.60,0.4629,3,0,1,0,0,1,0,,0
A100611_2026-04-30,A100611,2026-04-30,13,500,111.47,0.2229,2,0,0,1,0,1,0,,0
A102303_2025-12-31,A102303,2025-12-31,77,8000,1308.77,0.1636,3,0,0,0,0,0,0,,0
A100676_2025-01-31,A100676,2025-01-31,6,500,149.91,0.2998,1,0,0,0,0,0,0,,0
A102256_2025-07-31,A102256,2025-07-31,19,2500,1249.46,0.4998,1,0,0,0,0,0,0,,0
A101700_2025-06-30,A101700,2025-06-30,66,1500,1309.26,0.8728,3,0,1,0,0,1,1,2025-07-02,1
A101905_2025-03-31,A101905,2025-03-31,95,8000,5493.97,0.6867,3,0,0,0,0,0,0,,0
A100158_2025-05-31,A100158,2025-05-31,43,8000,8665.94,1.0832,2,0,0,0,1,0,1,2025-08-12,1
A101786_2026-06-30,A101786,2026-06-30,34,1500,418.58,0.2791,1,0,0,0,0,0,0,,0
A100967_2025-07-31,A100967,2025-07-31,21,8000,5523.72,0.6905,3,0,0,0,0,0,0,,0
A102196_2026-04-30,A102196,2026-04-30,61,5000,2334.40,0.4669,0,0,0,0,0,0,0,,0
A102336_2025-11-30,A102336,2025-11-30,102,1000,292.35,0.2923,1,0,1,1,0,1,0,,0
A100662_2025-12-31,A100662,2025-12-31,19,8000,6071.38,0.7589,0,1,1,0,0,1,0,,0
A100174_2025-03-31,A100174,2025-03-31,95,500,427.97,0.8559,2,1,0,0,0,1,0,,0
A100270_2026-01-31,A100270,2026-01-31,14,1000,684.14,0.6841,1,0,0,0,0,0,0,,0
A100358_2025-10-31,A100358,2025-10-31,62,500,423.92,0.8478,1,0,0,0,0,0,0,,0
A101437_2025-09-30,A101437,2025-09-30,120,1500,1316.93,0.8780,0,0,0,0,0,0,0,,0
A102465_2026-05-31,A102465,2026-05-31,61,1500,755.72,0.5038,3,1,0,1,0,1,0,,0
A101920_2025-02-28,A101920,2025-02-28,69,5000,2537.81,0.5076,1,0,0,0,0,0,0,,0
A101176_2025-06-30,A101176,2025-06-30,56,500,173.03,0.3461,0,1,0,0,0,1,0,,0
A100755_2026-05-31,A100755,2026-05-31,76,1500,779.39,0.5196,2,0,0,0,0,0,0,,0
A100948_2026-05-31,A100948,2026-05-31,22,500,472.68,0.9454,3,0,0,0,1,0,0,,0
A101337_2025-12-31,A101337,2025-12-31,13,2500,974.38,0.3898,3,0,0,0,0,0,0,,0
A100103_2026-01-31,A100103,2026-01-31,27,1500,758.18,0.5055,1,0,0,0,0,0,0,,0
A101887_2025-05-31,A101887,2025-05-31,69,5000,5430.33,1.0861,0,0,0,0,1,0,0,,0
A101844_2025-11-30,A101844,2025-11-30,22,2500,376.65,0.1507,1,0,0,0,0,0,0,,0
A100974_2026-06-30,A100974,2026-06-30,25,1500,1067.41,0.7116,2,0,0,0,0,0,0,,0
A100638_2025-09-30,A100638,2025-09-30,93,1500,547.85,0.3652,1,0,0,0,0,0,0,,0
A100416_2025-06-30,A100416,2025-06-30,85,500,205.28,0.4106,1,0,0,0,0,0,0,,0
A101218_2026-03-31,A101218,2026-03-31,36,1000,975.69,0.9757,2,1,0,1,1,1,1,2026-06-18,1
A101634_2026-03-31,A101634,2026-03-31,89,1000,898.92,0.8989,2,0,0,0,0,0,0,,0
A101657_2025-01-31,A101657,2025-01-31,95,1000,772.02,0.7720,3,0,0,0,0,0,0,,0
A102391_2025-08-31,A102391,2025-08-31,87,1000,405.16,0.4052,0,0,0,0,0,0,0,,0
A100400_2026-03-31,A100400,2026-03-31,32,2500,1172.87,0.4691,2,0,0,1,0,1,0,,0
A101676_2026-06-30,A101676,2026-06-30,87,8000,1656.41,0.2071,1,0,0,1,0,1,1,2026-07-10,1
A102006_2025-04-30,A102006,2025-04-30,5,1500,611.11,0.4074,1,0,0,0,0,0,0,,0
A102216_2025-07-31,A102216,2025-07-31,92,2500,1275.40,0.5102,0,0,0,0,0,0,0,,0
A101680_2026-04-30,A101680,2026-04-30,27,8000,5370.45,0.6713,0,0,0,0,0,0,0,,0
A101034_2025-10-31,A101034,2025-10-31,49,2500,2061.59,0.8246,0,1,0,0,0,1,0,,0
A101442_2025-09-30,A101442,2025-09-30,14,1000,466.59,0.4666,1,0,0,0,0,0,0,,0
A100673_2025-05-31,A100673,2025-05-31,119,500,394.37,0.7887,1,0,0,0,0,0,0,,0
A100599_2025-12-31,A100599,2025-12-31,86,8000,6129.71,0.7662,3,0,0,0,0,0,0,,0
A100512_2026-04-30,A100512,2026-04-30,46,1000,160.77,0.1608,2,0,0,0,0,0,0,,0
A100761_2026-05-31,A100761,2026-05-31,1,8000,4969.58,0.6212,2,0,0,0,0,0,0,,0
A100349_2026-01-31,A100349,2026-01-31,20,1500,488.51,0.3257,3,1,0,0,0,1,0,,0
A100575_2025-12-31,A100575,2025-12-31,82,5000,2939.10,0.5878,0,0,0,0,0,0,0,,0
A100584_2025-08-31,A100584,2025-08-31,24,2500,1383.93,0.5536,2,0,0,0,0,0,0,,0
A102189_2025-06-30,A102189,2025-06-30,79,8000,1690.49,0.2113,2,0,0,0,0,0,0,,0
A101796_2025-04-30,A101796,2025-04-30,72,500,137.81,0.2756,2,0,0,0,0,0,0,,0
A102282_2025-03-31,A102282,2025-03-31,62,2500,2179.19,0.8717,1,0,0,0,0,0,0,,0
A100027_2025-06-30,A100027,2025-06-30,108,1500,499.13,0.3328,3,0,0,0,0,0,0,,0
A101907_2026-01-31,A101907,2026-01-31,55,2500,2313.27,0.9253,1,0,0,0,1,0,0,,0
A102497_2025-02-28,A102497,2025-02-28,88,8000,4399.06,0.5499,2,0,0,0,0,0,0,,0
A100591_2025-02-28,A100591,2025-02-28,28,8000,3501.19,0.4376,0,0,0,0,0,0,0,,0
A102152_2025-08-31,A102152,2025-08-31,37,2500,1539.71,0.6159,2,0,0,0,0,0,0,,0
A101199_2025-12-31,A101199,2025-12-31,106,2500,766.41,0.3066,2,0,0,0,0,0,0,,0
A102016_2025-05-31,A102016,2025-05-31,43,1000,718.29,0.7183,2,0,0,0,0,0,0,,0
A100358_2025-02-28,A100358,2025-02-28,52,8000,2476.22,0.3095,0,0,0,0,0,0,0,,0
A101945_2025-03-31,A101945,2025-03-31,101,5000,2323.14,0.4646,3,0,0,0,0,0,0,,0
A102442_2025-03-31,A102442,2025-03-31,28,500,206.09,0.4122,1,0,0,0,0,0,0,,0
A100412_2025-01-31,A100412,2025-01-31,48,1000,310.13,0.3101,2,0,0,0,0,0,0,,0
A101727_2025-02-28,A101727,2025-02-28,41,500,112.61,0.2252,0,0,0,0,0,0,0,,0
A101724_2026-02-28,A101724,2026-02-28,58,500,350.57,0.7011,0,0,0,0,0,0,0,,0
A100636_2026-05-31,A100636,2026-05-31,99,2500,1127.08,0.4508,3,0,0,1,0,1,0,,0
A100019_2025-01-31,A100019,2025-01-31,88,8000,4148.79,0.5186,0,0,0,0,0,0,0,,0
A100497_2025-05-31,A100497,2025-05-31,61,500,249.18,0.4984,3,0,0,0,0,0,0,,0
A100593_2025-03-31,A100593,2025-03-31,38,8000,6961.71,0.8702,3,0,0,0,0,0,0,,0
A100215_2025-02-28,A100215,2025-02-28,2,500,455.52,0.9110,0,0,0,0,1,0,0,,0
A101992_2025-03-31,A101992,2025-03-31,41,1500,875.27,0.5835,3,0,0,0,0,0,0,,0
A100478_2026-01-31,A100478,2026-01-31,83,1000,371.60,0.3716,3,0,0,0,0,0,0,,0
A102321_2025-12-31,A102321,2025-12-31,38,1500,541.08,0.3607,0,0,0,0,0,0,0,,0
A102457_2025-12-31,A102457,2025-12-31,112,5000,2716.41,0.5433,1,0,0,0,0,0,0,,0
A101008_2026-01-31,A101008,2026-01-31,50,8000,4050.59,0.5063,3,0,0,0,0,0,0,,0
A101160_2025-01-31,A101160,2025-01-31,42,1500,800.21,0.5335,0,0,0,0,0,0,0,,0
A102342_2025-05-31,A102342,2025-05-31,36,5000,3476.58,0.6953,3,0,0,0,0,0,0,,0
A101563_2025-07-31,A101563,2025-07-31,101,8000,5728.11,0.7160,0,0,0,0,0,0,0,,0
A101043_2025-01-31,A101043,2025-01-31,102,2500,1185.16,0.4741,3,0,0,0,0,0,0,,0
A100256_2025-08-31,A100256,2025-08-31,51,5000,1789.43,0.3579,2,0,0,0,0,0,0,,0
A100787_2025-04-30,A100787,2025-04-30,24,8000,4195.63,0.5245,2,0,0,0,0,0,0,,0
A102118_2025-06-30,A102118,2025-06-30,32,500,403.86,0.8077,0,0,0,0,0,0,0,,0
A101293_2025-02-28,A101293,2025-02-28,45,1500,620.69,0.4138,0,0,0,0,0,0,0,,0
A102316_2026-05-31,A102316,2026-05-31,76,5000,3396.16,0.6792,2,0,0,0,0,0,0,,0
A102493_2025-05-31,A102493,2025-05-31,33,500,552.45,1.1049,2,1,0,1,1,1,1,2025-06-23,1
A100208_2025-02-28,A100208,2025-02-28,72,1500,1110.50,0.7403,0,0,0,0,0,0,0,,0
A100368_2025-09-30,A100368,2025-09-30,41,5000,1745.04,0.3490,1,0,0,0,0,0,0,,0
A101610_2025-07-31,A101610,2025-07-31,58,1000,423.93,0.4239,1,0,0,0,0,0,0,,0
A100242_2025-01-31,A100242,2025-01-31,108,500,341.36,0.6827,2,0,0,0,0,0,0,,0
A101980_2025-02-28,A101980,2025-02-28,13,1000,538.90,0.5389,1,0,0,0,0,0,0,,0
A100431_2026-04-30,A100431,2026-04-30,42,1500,861.77,0.5745,2,0,0,0,0,0,0,,0
A101807_2025-09-30,A101807,2025-09-30,104,1000,1002.97,1.0030,3,0,0,0,1,0,0,,0
A100903_2025-03-31,A100903,2025-03-31,120,5000,1397.06,0.2794,2,0,0,0,0,0,0,,0
A100397_2026-01-31,A100397,2026-01-31,108,500,180.08,0.3602,2,0,0,0,0,0,0,,0
A101499_2025-05-31,A101499,2025-05-31,43,1000,351.95,0.3519,0,0,0,0,0,0,0,,0
A101798_2025-06-30,A101798,2025-06-30,35,2500,1065.83,0.4263,2,0,0,0,0,0,0,,0
A101067_2026-05-31,A101067,2026-05-31,14,1500,939.83,0.6266,3,0,0,0,0,0,0,,0
A100232_2025-08-31,A100232,2025-08-31,72,2500,1535.77,0.6143,1,0,0,0,0,0,0,,0
A100977_2025-09-30,A100977,2025-09-30,13,2500,1104.25,0.4417,2,0,0,0,0,0,0,,0
A101202_2025-05-31,A101202,2025-05-31,82,500,135.90,0.2718,1,0,0,0,0,0,0,,0
A101173_2025-07-31,A101173,2025-07-31,47,2500,1639.75,0.6559,0,0,0,0,0,0,0,,0
A100565_2025-07-31,A100565,2025-07-31,67,1000,510.48,0.5105,0,0,0,0,0,0,0,,0
A101121_2025-06-30,A101121,2025-06-30,27,1000,389.32,0.3893,1,0,0,0,0,0,0,,0
A102128_2026-02-28,A102128,2026-02-28,108,8000,6490.75,0.8113,2,0,0,0,0,0,0,,0
A102019_2025-04-30,A102019,2025-04-30,2,2500,995.49,0.3982,3,0,0,0,0,0,0,,0
A102306_2026-01-31,A102306,2026-01-31,5,1000,453.37,0.4534,0,0,0,0,0,0,0,,0
A100292_2025-05-31,A100292,2025-05-31,46,8000,1900.76,0.2376,1,0,0,0,0,0,0,,0
A101562_2025-03-31,A101562,2025-03-31,38,500,415.03,0.8301,0,0,0,0,0,0,0,,0
A100362_2025-08-31,A100362,2025-08-31,80,1000,466.82,0.4668,1,0,0,0,0,0,0,,0
A100123_2025-01-31,A100123,2025-01-31,13,8000,4290.02,0.5363,3,0,0,0,0,0,0,,0
A100384_2025-07-31,A100384,2025-07-31,6,1500,533.79,0.3559,0,0,0,0,0,0,0,,0
A100450_2025-05-31,A100450,2025-05-31,16,2500,1958.73,0.7835,1,0,0,0,0,0,0,,0
A101624_2025-06-30,A101624,2025-06-30,106,500,171.34,0.3427,3,0,0,0,0,0,1,2025-07-15,1
A100148_2026-02-28,A100148,2026-02-28,7,1500,678.15,0.4521,2,0,0,0,0,0,0,,0
A101313_2026-02-28,A101313,2026-02-28,109,5000,3537.11,0.7074,0,0,0,0,0,0,0,,0
A101447_2025-09-30,A101447,2025-09-30,112,2500,1325.53,0.5302,0,0,0,0,0,0,0,,0
A102067_2025-01-31,A102067,2025-01-31,29,1000,517.42,0.5174,3,0,0,0,0,0,0,,0
A100191_2025-02-28,A100191,2025-02-28,5,8000,1157.71,0.1447,2,0,0,0,0,0,0,,0
A100411_2025-09-30,A100411,2025-09-30,16,5000,824.74,0.1649,0,0,0,0,0,0,0,,0
A101250_2025-12-31,A101250,2025-12-31,83,1000,794.24,0.7942,2,1,0,0,0,1,0,,0
