snapshot_id,account_id,snapshot_date,split,hybrid_score,risk_band,recommended_action,reason_codes,case_summary
A102182_2026-03-31,A102182,2026-03-31,test,0.030222,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.030). Key reasons: low_observed_risk.
A100201_2026-03-31,A100201,2026-03-31,test,0.032658,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.033). Key reasons: low_observed_risk.
A100223_2026-03-31,A100223,2026-03-31,test,0.029675,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.030). Key reasons: low_observed_risk.
A101793_2026-03-31,A101793,2026-03-31,test,0.027043,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.027). Key reasons: low_observed_risk.
A101720_2026-03-31,A101720,2026-03-31,test,0.066982,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.067). Key reasons: missed_payment_mentioned.
A100391_2026-03-31,A100391,2026-03-31,test,0.030755,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.031). Key reasons: low_observed_risk.
A100816_2026-03-31,A100816,2026-03-31,test,0.068649,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.069). Key reasons: hardship_mentioned.
A101805_2026-03-31,A101805,2026-03-31,test,0.066798,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.067). Key reasons: missed_payment_mentioned.
A101995_2026-03-31,A101995,2026-03-31,test,0.029210,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.029). Key reasons: low_observed_risk.
A101240_2026-03-31,A101240,2026-03-31,test,0.509790,high,priority_manual_review_24h,elevated_note_risk;missed_payment_mentioned;arrangement_break_mentioned;collections_escalation_mentioned,"High-priority review recommended (hybrid_score=0.510). Key reasons: elevated_note_risk, missed_payment_mentioned, arrangement_break_mentioned, collections_escalation_mentioned."
A101601_2026-03-31,A101601,2026-03-31,test,0.030197,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.030). Key reasons: low_observed_risk.
A100227_2026-03-31,A100227,2026-03-31,test,0.032204,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.032). Key reasons: low_observed_risk.
A100119_2026-03-31,A100119,2026-03-31,test,0.052778,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.053). Key reasons: low_observed_risk.
A100875_2026-03-31,A100875,2026-03-31,test,0.069571,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.070). Key reasons: missed_payment_mentioned.
A101861_2026-03-31,A101861,2026-03-31,test,0.027208,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.027). Key reasons: low_observed_risk.
A101223_2026-03-31,A101223,2026-03-31,test,0.067927,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.068). Key reasons: missed_payment_mentioned.
A101407_2026-03-31,A101407,2026-03-31,test,0.027384,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.027). Key reasons: low_observed_risk.
A101410_2026-03-31,A101410,2026-03-31,test,0.051063,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.051). Key reasons: low_observed_risk.
A100013_2026-03-31,A100013,2026-03-31,test,0.048083,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.048). Key reasons: low_observed_risk.
A101923_2026-03-31,A101923,2026-03-31,test,0.031798,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.032). Key reasons: low_observed_risk.
A102399_2026-03-31,A102399,2026-03-31,test,0.030799,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.031). Key reasons: low_observed_risk.
A100556_2026-03-31,A100556,2026-03-31,test,0.029911,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.030). Key reasons: low_observed_risk.
A101328_2026-03-31,A101328,2026-03-31,test,0.029065,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.029). Key reasons: low_observed_risk.
A100297_2026-03-31,A100297,2026-03-31,test,0.031934,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.032). Key reasons: low_observed_risk.
A100475_2026-03-31,A100475,2026-03-31,test,0.068724,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.069). Key reasons: hardship_mentioned.
A101235_2026-03-31,A101235,2026-03-31,test,0.026989,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.027). Key reasons: low_observed_risk.
A101593_2026-03-31,A101593,2026-03-31,test,0.212933,elevated,manual_review_3_business_days,arrangement_break_mentioned;collections_escalation_mentioned,"Elevated-risk review recommended (hybrid_score=0.213). Key reasons: arrangement_break_mentioned, collections_escalation_mentioned."
A102489_2026-03-31,A102489,2026-03-31,test,0.030205,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.030). Key reasons: low_observed_risk.
A100681_2026-03-31,A100681,2026-03-31,test,0.027845,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.028). Key reasons: low_observed_risk.
A100152_2026-03-31,A100152,2026-03-31,test,0.200021,elevated,manual_review_3_business_days,missed_payment_mentioned,Elevated-risk review recommended (hybrid_score=0.200). Key reasons: missed_payment_mentioned.
A100338_2026-03-31,A100338,2026-03-31,test,0.029372,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.029). Key reasons: low_observed_risk.
A101803_2026-03-31,A101803,2026-03-31,test,0.068748,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.069). Key reasons: missed_payment_mentioned.
A100481_2026-03-31,A100481,2026-03-31,test,0.199892,elevated,manual_review_3_business_days,missed_payment_mentioned,Elevated-risk review recommended (hybrid_score=0.200). Key reasons: missed_payment_mentioned.
A101751_2026-03-31,A101751,2026-03-31,test,0.052991,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.053). Key reasons: low_observed_risk.
A101837_2026-03-31,A101837,2026-03-31,test,0.025673,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.026). Key reasons: low_observed_risk.
A101354_2026-03-31,A101354,2026-03-31,test,0.031271,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.031). Key reasons: low_observed_risk.
A100345_2026-03-31,A100345,2026-03-31,test,0.504493,high,priority_manual_review_24h,elevated_note_risk;missed_payment_mentioned;arrangement_break_mentioned;collections_escalation_mentioned,"High-priority review recommended (hybrid_score=0.504). Key reasons: elevated_note_risk, missed_payment_mentioned, arrangement_break_mentioned, collections_escalation_mentioned."
A102102_2026-03-31,A102102,2026-03-31,test,0.032058,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.032). Key reasons: low_observed_risk.
A101286_2026-04-30,A101286,2026-04-30,test,0.028230,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.028). Key reasons: low_observed_risk.
A100929_2026-04-30,A100929,2026-04-30,test,0.029182,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.029). Key reasons: low_observed_risk.
A102218_2026-04-30,A102218,2026-04-30,test,0.030002,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.030). Key reasons: low_observed_risk.
A100803_2026-04-30,A100803,2026-04-30,test,0.380556,high,priority_manual_review_24h,elevated_note_risk;missed_payment_mentioned;arrangement_break_mentioned;collections_escalation_mentioned,"High-priority review recommended (hybrid_score=0.381). Key reasons: elevated_note_risk, missed_payment_mentioned, arrangement_break_mentioned, collections_escalation_mentioned."
A102004_2026-04-30,A102004,2026-04-30,test,0.027330,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.027). Key reasons: low_observed_risk.
A100611_2026-04-30,A100611,2026-04-30,test,0.214546,elevated,manual_review_3_business_days,arrangement_break_mentioned;collections_escalation_mentioned,"Elevated-risk review recommended (hybrid_score=0.215). Key reasons: arrangement_break_mentioned, collections_escalation_mentioned."
A102196_2026-04-30,A102196,2026-04-30,test,0.068274,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.068). Key reasons: missed_payment_mentioned.
A101680_2026-04-30,A101680,2026-04-30,test,0.026990,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.027). Key reasons: low_observed_risk.
A100512_2026-04-30,A100512,2026-04-30,test,0.031279,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.031). Key reasons: low_observed_risk.
A100431_2026-04-30,A100431,2026-04-30,test,0.028061,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.028). Key reasons: low_observed_risk.
A100800_2026-04-30,A100800,2026-04-30,test,0.069152,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.069). Key reasons: missed_payment_mentioned.
A101531_2026-04-30,A101531,2026-04-30,test,0.030302,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.030). Key reasons: low_observed_risk.
A100835_2026-04-30,A100835,2026-04-30,test,0.202466,elevated,manual_review_3_business_days,missed_payment_mentioned,Elevated-risk review recommended (hybrid_score=0.202). Key reasons: missed_payment_mentioned.
A101859_2026-04-30,A101859,2026-04-30,test,0.068522,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.069). Key reasons: missed_payment_mentioned.
A101490_2026-04-30,A101490,2026-04-30,test,0.054798,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.055). Key reasons: low_observed_risk.
A100352_2026-04-30,A100352,2026-04-30,test,0.066742,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.067). Key reasons: missed_payment_mentioned.
A101578_2026-04-30,A101578,2026-04-30,test,0.027907,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.028). Key reasons: low_observed_risk.
A100738_2026-04-30,A100738,2026-04-30,test,0.067226,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.067). Key reasons: hardship_mentioned.
A101182_2026-04-30,A101182,2026-04-30,test,0.026997,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.027). Key reasons: low_observed_risk.
A100449_2026-04-30,A100449,2026-04-30,test,0.028918,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.029). Key reasons: low_observed_risk.
A101134_2026-04-30,A101134,2026-04-30,test,0.070102,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.070). Key reasons: hardship_mentioned.
A100623_2026-04-30,A100623,2026-04-30,test,0.028556,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.029). Key reasons: low_observed_risk.
A101137_2026-04-30,A101137,2026-04-30,test,0.032185,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.032). Key reasons: low_observed_risk.
A100200_2026-04-30,A100200,2026-04-30,test,0.181640,elevated,manual_review_3_business_days,missed_payment_mentioned,Elevated-risk review recommended (hybrid_score=0.182). Key reasons: missed_payment_mentioned.
A102304_2026-04-30,A102304,2026-04-30,test,0.324376,high,priority_manual_review_24h,elevated_note_risk;hardship_mentioned;income_shock_mentioned;missed_payment_mentioned,"High-priority review recommended (hybrid_score=0.324). Key reasons: elevated_note_risk, hardship_mentioned, income_shock_mentioned, missed_payment_mentioned."
A100872_2026-04-30,A100872,2026-04-30,test,0.052756,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.053). Key reasons: low_observed_risk.
A100717_2026-04-30,A100717,2026-04-30,test,0.069980,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.070). Key reasons: hardship_mentioned.
A102223_2026-04-30,A102223,2026-04-30,test,0.067172,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.067). Key reasons: missed_payment_mentioned.
A100755_2026-04-30,A100755,2026-04-30,test,0.065510,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.066). Key reasons: missed_payment_mentioned.
A100789_2026-04-30,A100789,2026-04-30,test,0.053858,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.054). Key reasons: low_observed_risk.
A101778_2026-04-30,A101778,2026-04-30,test,0.067750,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.068). Key reasons: hardship_mentioned.
A101824_2026-04-30,A101824,2026-04-30,test,0.027790,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.028). Key reasons: low_observed_risk.
A101365_2026-04-30,A101365,2026-04-30,test,0.030601,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.031). Key reasons: low_observed_risk.
A100275_2026-04-30,A100275,2026-04-30,test,0.025826,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.026). Key reasons: low_observed_risk.
A100474_2026-04-30,A100474,2026-04-30,test,0.251814,high,priority_manual_review_24h,elevated_note_risk;hardship_mentioned;income_shock_mentioned,"High-priority review recommended (hybrid_score=0.252). Key reasons: elevated_note_risk, hardship_mentioned, income_shock_mentioned."
A101420_2026-04-30,A101420,2026-04-30,test,0.194982,elevated,manual_review_3_business_days,missed_payment_mentioned,Elevated-risk review recommended (hybrid_score=0.195). Key reasons: missed_payment_mentioned.
A100038_2026-04-30,A100038,2026-04-30,test,0.027347,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.027). Key reasons: low_observed_risk.
A102368_2026-04-30,A102368,2026-04-30,test,0.026179,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.026). Key reasons: low_observed_risk.
A102030_2026-04-30,A102030,2026-04-30,test,0.195798,elevated,manual_review_3_business_days,arrangement_break_mentioned;collections_escalation_mentioned,"Elevated-risk review recommended (hybrid_score=0.196). Key reasons: arrangement_break_mentioned, collections_escalation_mentioned."
A100517_2026-04-30,A100517,2026-04-30,test,0.188254,elevated,manual_review_3_business_days,elevated_note_risk;hardship_mentioned;income_shock_mentioned,"Elevated-risk review recommended (hybrid_score=0.188). Key reasons: elevated_note_risk, hardship_mentioned, income_shock_mentioned."
A100320_2026-04-30,A100320,2026-04-30,test,0.027842,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.028). Key reasons: low_observed_risk.
A100695_2026-04-30,A100695,2026-04-30,test,0.029769,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.030). Key reasons: low_observed_risk.
A100258_2026-04-30,A100258,2026-04-30,test,0.026701,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.027). Key reasons: low_observed_risk.
A102167_2026-04-30,A102167,2026-04-30,test,0.196430,elevated,manual_review_3_business_days,missed_payment_mentioned,Elevated-risk review recommended (hybrid_score=0.196). Key reasons: missed_payment_mentioned.
A101558_2026-04-30,A101558,2026-04-30,test,0.026534,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.027). Key reasons: low_observed_risk.
A100067_2026-04-30,A100067,2026-04-30,test,0.296026,high,priority_manual_review_24h,missed_payment_mentioned,High-priority review recommended (hybrid_score=0.296). Key reasons: missed_payment_mentioned.
A102179_2026-04-30,A102179,2026-04-30,test,0.178614,elevated,manual_review_3_business_days,elevated_note_risk;hardship_mentioned;income_shock_mentioned,"Elevated-risk review recommended (hybrid_score=0.179). Key reasons: elevated_note_risk, hardship_mentioned, income_shock_mentioned."
A100704_2026-04-30,A100704,2026-04-30,test,0.191617,elevated,manual_review_3_business_days,missed_payment_mentioned,Elevated-risk review recommended (hybrid_score=0.192). Key reasons: missed_payment_mentioned.
A102052_2026-04-30,A102052,2026-04-30,test,0.066606,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.067). Key reasons: missed_payment_mentioned.
A100176_2026-04-30,A100176,2026-04-30,test,0.030689,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.031). Key reasons: low_observed_risk.
A101779_2026-04-30,A101779,2026-04-30,test,0.028834,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.029). Key reasons: low_observed_risk.
A100252_2026-04-30,A100252,2026-04-30,test,0.066904,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.067). Key reasons: missed_payment_mentioned.
A100749_2026-04-30,A100749,2026-04-30,test,0.336925,high,priority_manual_review_24h,elevated_note_risk;hardship_mentioned;income_shock_mentioned;missed_payment_mentioned,"High-priority review recommended (hybrid_score=0.337). Key reasons: elevated_note_risk, hardship_mentioned, income_shock_mentioned, missed_payment_mentioned."
A102391_2026-04-30,A102391,2026-04-30,test,0.030520,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.031). Key reasons: low_observed_risk.
A100363_2026-04-30,A100363,2026-04-30,test,0.068108,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.068). Key reasons: missed_payment_mentioned.
A100538_2026-04-30,A100538,2026-04-30,test,0.179479,elevated,manual_review_3_business_days,elevated_note_risk;hardship_mentioned;income_shock_mentioned,"Elevated-risk review recommended (hybrid_score=0.179). Key reasons: elevated_note_risk, hardship_mentioned, income_shock_mentioned."
A101483_2026-04-30,A101483,2026-04-30,test,0.029704,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.030). Key reasons: low_observed_risk.
A100882_2026-04-30,A100882,2026-04-30,test,0.066334,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.066). Key reasons: missed_payment_mentioned.
A100673_2026-04-30,A100673,2026-04-30,test,0.054460,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.054). Key reasons: low_observed_risk.
A101489_2026-04-30,A101489,2026-04-30,test,0.067772,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.068). Key reasons: hardship_mentioned.
A101035_2026-04-30,A101035,2026-04-30,test,0.065654,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.066). Key reasons: missed_payment_mentioned.
A100477_2026-04-30,A100477,2026-04-30,test,0.066711,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.067). Key reasons: missed_payment_mentioned.
A101176_2026-04-30,A101176,2026-04-30,test,0.029967,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.030). Key reasons: low_observed_risk.
A100007_2026-05-31,A100007,2026-05-31,test,0.068791,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.069). Key reasons: missed_payment_mentioned.
A100598_2026-05-31,A100598,2026-05-31,test,0.205969,elevated,manual_review_3_business_days,arrangement_break_mentioned;collections_escalation_mentioned,"Elevated-risk review recommended (hybrid_score=0.206). Key reasons: arrangement_break_mentioned, collections_escalation_mentioned."
A102275_2026-05-31,A102275,2026-05-31,test,0.067172,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.067). Key reasons: hardship_mentioned.
A101770_2026-05-31,A101770,2026-05-31,test,0.066316,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.066). Key reasons: hardship_mentioned.
A101142_2026-05-31,A101142,2026-05-31,test,0.179770,elevated,manual_review_3_business_days,elevated_note_risk;hardship_mentioned;income_shock_mentioned,"Elevated-risk review recommended (hybrid_score=0.180). Key reasons: elevated_note_risk, hardship_mentioned, income_shock_mentioned."
A102050_2026-05-31,A102050,2026-05-31,test,0.026219,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.026). Key reasons: low_observed_risk.
A101938_2026-05-31,A101938,2026-05-31,test,0.032328,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.032). Key reasons: low_observed_risk.
A100992_2026-05-31,A100992,2026-05-31,test,0.191877,elevated,manual_review_3_business_days,missed_payment_mentioned,Elevated-risk review recommended (hybrid_score=0.192). Key reasons: missed_payment_mentioned.
A100928_2026-05-31,A100928,2026-05-31,test,0.030343,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.030). Key reasons: low_observed_risk.
A100914_2026-05-31,A100914,2026-05-31,test,0.317941,high,priority_manual_review_24h,elevated_note_risk;hardship_mentioned;income_shock_mentioned;missed_payment_mentioned,"High-priority review recommended (hybrid_score=0.318). Key reasons: elevated_note_risk, hardship_mentioned, income_shock_mentioned, missed_payment_mentioned."
A100138_2026-05-31,A100138,2026-05-31,test,0.070043,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.070). Key reasons: missed_payment_mentioned.
A102465_2026-05-31,A102465,2026-05-31,test,0.378898,high,priority_manual_review_24h,elevated_note_risk;missed_payment_mentioned;arrangement_break_mentioned;collections_escalation_mentioned,"High-priority review recommended (hybrid_score=0.379). Key reasons: elevated_note_risk, missed_payment_mentioned, arrangement_break_mentioned, collections_escalation_mentioned."
A100755_2026-05-31,A100755,2026-05-31,test,0.028252,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.028). Key reasons: low_observed_risk.
A100948_2026-05-31,A100948,2026-05-31,test,0.055053,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.055). Key reasons: low_observed_risk.
A100761_2026-05-31,A100761,2026-05-31,test,0.067977,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.068). Key reasons: missed_payment_mentioned.
A100636_2026-05-31,A100636,2026-05-31,test,0.205944,elevated,manual_review_3_business_days,arrangement_break_mentioned;collections_escalation_mentioned,"Elevated-risk review recommended (hybrid_score=0.206). Key reasons: arrangement_break_mentioned, collections_escalation_mentioned."
A102316_2026-05-31,A102316,2026-05-31,test,0.027080,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.027). Key reasons: low_observed_risk.
A101067_2026-05-31,A101067,2026-05-31,test,0.028086,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.028). Key reasons: low_observed_risk.
A101333_2026-05-31,A101333,2026-05-31,test,0.068411,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.068). Key reasons: hardship_mentioned.
A101632_2026-05-31,A101632,2026-05-31,test,0.027761,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.028). Key reasons: low_observed_risk.
A101480_2026-05-31,A101480,2026-05-31,test,0.068997,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.069). Key reasons: missed_payment_mentioned.
A101476_2026-05-31,A101476,2026-05-31,test,0.026734,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.027). Key reasons: low_observed_risk.
A101919_2026-05-31,A101919,2026-05-31,test,0.199192,elevated,manual_review_3_business_days,missed_payment_mentioned,Elevated-risk review recommended (hybrid_score=0.199). Key reasons: missed_payment_mentioned.
A100784_2026-05-31,A100784,2026-05-31,test,0.065429,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.065). Key reasons: hardship_mentioned.
A101056_2026-05-31,A101056,2026-05-31,test,0.028482,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.028). Key reasons: low_observed_risk.
A102234_2026-05-31,A102234,2026-05-31,test,0.069295,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.069). Key reasons: hardship_mentioned.
A102151_2026-05-31,A102151,2026-05-31,test,0.065505,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.066). Key reasons: missed_payment_mentioned.
A101891_2026-05-31,A101891,2026-05-31,test,0.180366,elevated,manual_review_3_business_days,missed_payment_mentioned,Elevated-risk review recommended (hybrid_score=0.180). Key reasons: missed_payment_mentioned.
A101795_2026-05-31,A101795,2026-05-31,test,0.070922,low,routine_monitoring_queue,hardship_mentioned,Routine monitoring recommended (hybrid_score=0.071). Key reasons: hardship_mentioned.
A100958_2026-05-31,A100958,2026-05-31,test,0.070246,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.070). Key reasons: missed_payment_mentioned.
A102095_2026-05-31,A102095,2026-05-31,test,0.027550,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.028). Key reasons: low_observed_risk.
A100765_2026-05-31,A100765,2026-05-31,test,0.071924,low,routine_monitoring_queue,missed_payment_mentioned,Routine monitoring recommended (hybrid_score=0.072). Key reasons: missed_payment_mentioned.
A100215_2026-05-31,A100215,2026-05-31,test,0.184120,elevated,manual_review_3_business_days,missed_payment_mentioned,Elevated-risk review recommended (hybrid_score=0.184). Key reasons: missed_payment_mentioned.
A101323_2026-05-31,A101323,2026-05-31,test,0.028029,low,routine_monitoring_queue,low_observed_risk,Routine monitoring recommended (hybrid_score=0.028). Key reasons: low_observed_risk.
